date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:03:55	2925/2925	------	404	error ('Not%20Found')	text/html	etag:W/%22b6f911e8f2e0dd98d34752954d6444e0%22	https://ai-saas-template-aceternity.vercel.app/robots.txt		(from )
23:03:55	466742/466742	------	200	untouched ('OK')	text/html	etag:W/%223d5ecc0a9eeb2237c3f41d746232916e%22	https://ai-saas-template-aceternity.vercel.app/	C:/Users/suraj/Downloads/projects/AI-SAAS-Template/ai-saas-template-aceternity.vercel.app/index.html	(from )
23:03:56	56800/56800	---M--	200	added ('OK')	font/woff2	etag:%220e46e732cced180e3a2c7285100f27d4%22	https://ai-saas-template-aceternity.vercel.app/_next/static/media/e11418ac562b8ac1-s.p.woff2	C:/Users/suraj/Downloads/projects/AI-SAAS-Template/ai-saas-template-aceternity.vercel.app/_next/static/media/e11418ac562b8ac1-s.p.woff2	(from https://ai-saas-template-aceternity.vercel.app/)
23:03:56	67079/67079	---MCZ	200	added ('OK')	text/css	etag:W/%22167cbe946ab1f9ba19b133a9298fc7f0%22	https://ai-saas-template-aceternity.vercel.app/_next/static/css/401c11dec3f9c769.css	C:/Users/suraj/Downloads/projects/AI-SAAS-Template/ai-saas-template-aceternity.vercel.app/_next/static/css/401c11dec3f9c769.css	(from https://ai-saas-template-aceternity.vercel.app/)
23:03:57	2045/2045	---MCZ	200	added ('OK')	text/css	etag:W/%22ed03ff6bdcf04ac1e50428ce41d85834%22	https://ai-saas-template-aceternity.vercel.app/_next/static/css/bf122073088a753a.css	C:/Users/suraj/Downloads/projects/AI-SAAS-Template/ai-saas-template-aceternity.vercel.app/_next/static/css/bf122073088a753a.css	(from https://ai-saas-template-aceternity.vercel.app/)
23:03:57	3853/3853	---MCZ	200	added ('OK')	application/javascript	etag:W/%2283303d1dab8b83f27d59cf3cfe09f50c%22	https://ai-saas-template-aceternity.vercel.app/_next/static/chunks/webpack-03630e3a7b58d41e.js	C:/Users/suraj/Downloads/projects/AI-SAAS-Template/ai-saas-template-aceternity.vercel.app/_next/static/chunks/webpack-03630e3a7b58d41e.js	(from https://ai-saas-template-aceternity.vercel.app/)
23:03:58	168413/168413	---MCZ	200	added ('OK')	application/javascript	etag:W/%2234bf3a63870b68c4bb495b58c957679e%22	https://ai-saas-template-aceternity.vercel.app/_next/static/chunks/4bd1b696-c1fc7b580606a8ec.js	C:/Users/suraj/Downloads/projects/AI-SAAS-Template/ai-saas-template-aceternity.vercel.app/_next/static/chunks/4bd1b696-c1fc7b580606a8ec.js	(from https://ai-saas-template-aceternity.vercel.app/)
23:03:58	174923/174923	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b203231c0746f1622b708b4c7cc36fba%22	https://ai-saas-template-aceternity.vercel.app/_next/static/chunks/684-c7d0b086f21645f1.js	C:/Users/suraj/Downloads/projects/AI-SAAS-Template/ai-saas-template-aceternity.vercel.app/_next/static/chunks/684-c7d0b086f21645f1.js	(from https://ai-saas-template-aceternity.vercel.app/)
23:03:59	518/518	---M--	200	added ('OK')	application/javascript	etag:%22d4b0a614cf7429b3653fb2801c5e4b40%22	https://ai-saas-template-aceternity.vercel.app/_next/static/chunks/main-app-d9794b1200c643e4.js	C:/Users/suraj/Downloads/projects/AI-SAAS-Template/ai-saas-template-aceternity.vercel.app/_next/static/chunks/main-app-d9794b1200c643e4.js	(from https://ai-saas-template-aceternity.vercel.app/)
23:04:01	7734/7734	---MCZ	200	added ('OK')	application/javascript	etag:W/%229ebcbd28a74f0a48366be3701f77e604%22	https://ai-saas-template-aceternity.vercel.app/_next/static/chunks/874-1d4d41457c899cd6.js	C:/Users/suraj/Downloads/projects/AI-SAAS-Template/ai-saas-template-aceternity.vercel.app/_next/static/chunks/874-1d4d41457c899cd6.js	(from https://ai-saas-template-aceternity.vercel.app/)
23:04:18	7153/7153	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cf4ebfe4b7d1ef7774910f1f260205c2%22	https://ai-saas-template-aceternity.vercel.app/_next/static/chunks/app/layout-f40e2caccc4cba61.js	C:/Users/suraj/Downloads/projects/AI-SAAS-Template/ai-saas-template-aceternity.vercel.app/_next/static/chunks/app/layout-f40e2caccc4cba61.js	(from https://ai-saas-template-aceternity.vercel.app/)
23:04:19	950/950	---M--	200	added ('OK')	application/javascript	etag:%221257603088c401d475773f5ec2c40929%22	https://ai-saas-template-aceternity.vercel.app/_next/static/chunks/5e22fd23-e5ea966b898d44aa.js	C:/Users/suraj/Downloads/projects/AI-SAAS-Template/ai-saas-template-aceternity.vercel.app/_next/static/chunks/5e22fd23-e5ea966b898d44aa.js	(from https://ai-saas-template-aceternity.vercel.app/)
23:04:19	20915/20915	---MCZ	200	added ('OK')	application/javascript	etag:W/%22968e7b6e9da5d698431d8d59e4992e5d%22	https://ai-saas-template-aceternity.vercel.app/_next/static/chunks/578-fca51918b302d055.js	C:/Users/suraj/Downloads/projects/AI-SAAS-Template/ai-saas-template-aceternity.vercel.app/_next/static/chunks/578-fca51918b302d055.js	(from https://ai-saas-template-aceternity.vercel.app/)
